SL,Desc,UH
pre[7] m3p,*present-indicative class7 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;ruDAdi;#;}
pre[8] a1s,*present-indicative class8 active first-person singular,{kartari;law;u;eka;parasmEpadI;tanAdi;#;}
pre[8] a1d,*present-indicative class8 active first-person dual,{kartari;law;u;dvi;parasmEpadI;tanAdi;#;}
pre[8] a1p,*present-indicative class8 active first-person plural,{kartari;law;u;bahu;parasmEpadI;tanAdi;#;}
pre[8] a2s,*present-indicative class8 active second-person singular,{kartari;law;ma;eka;parasmEpadI;tanAdi;#;}
pre[8] a2d,*present-indicative class8 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;tanAdi;#;}
pre[8] a2p,*present-indicative class8 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;tanAdi;#;}
pre[8] a3s,*present-indicative class8 active third-person singular,{kartari;law;pra;eka;parasmEpadI;tanAdi;#;}
pre[8] a3d,*present-indicative class8 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;tanAdi;#;}
pre[8] a3p,*present-indicative class8 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;tanAdi;#;}
pre[8] m1s,*present-indicative class8 middle first-person singular,{kartari;law;u;eka;AtmanepadI;tanAdi;#;}
pre[8] m1d,*present-indicative class8 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;tanAdi;#;}
pre[8] m1p,*present-indicative class8 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;tanAdi;#;}
pre[8] m2s,*present-indicative class8 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;tanAdi;#;}
pre[8] m2d,*present-indicative class8 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;tanAdi;#;}
pre[8] m2p,*present-indicative class8 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;tanAdi;#;}
pre[8] m3s,*present-indicative class8 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;tanAdi;#;}
pre[8] m3d,*present-indicative class8 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;tanAdi;#;}
pre[8] m3p,*present-indicative class8 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;tanAdi;#;}
pre[9] a1s,*present-indicative class9 active first-person singular,{kartari;law;u;eka;parasmEpadI;kryAdi;#;}
pre[9] a1d,*present-indicative class9 active first-person dual,{kartari;law;u;dvi;parasmEpadI;kryAdi;#;}
pre[9] a1p,*present-indicative class9 active first-person plural,{kartari;law;u;bahu;parasmEpadI;kryAdi;#;}
pre[9] a2s,*present-indicative class9 active second-person singular,{kartari;law;ma;eka;parasmEpadI;kryAdi;#;}
pre[9] a2d,*present-indicative class9 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;kryAdi;#;}
pre[9] a2p,*present-indicative class9 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;kryAdi;#;}
pre[9] a3s,*present-indicative class9 active third-person singular,{kartari;law;pra;eka;parasmEpadI;kryAdi;#;}
pre[9] a3d,*present-indicative class9 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;kryAdi;#;}
pre[9] a3p,*present-indicative class9 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;kryAdi;#;}
pre[9] m1s,*present-indicative class9 middle first-person singular,{kartari;law;u;eka;AtmanepadI;kryAdi;#;}
pre[9] m1d,*present-indicative class9 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;kryAdi;#;}
pre[9] m1p,*present-indicative class9 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;kryAdi;#;}
pre[9] m2s,*present-indicative class9 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;kryAdi;#;}
pre[9] m2d,*present-indicative class9 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;kryAdi;#;}
pre[9] m2p,*present-indicative class9 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;kryAdi;#;}
pre[9] m3s,*present-indicative class9 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;kryAdi;#;}
pre[9] m3d,*present-indicative class9 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;kryAdi;#;}
pre[9] m3p,*present-indicative class9 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;kryAdi;#;}
